#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
B2M	CD80	9606.ENSP00000497910	9606.ENSP00000264246	0	0	0	0	0.137	0.183	0	0.921	0.939
B2M	CD8A	9606.ENSP00000497910	9606.ENSP00000386559	0	0	0	0	0.092	0.967	0.500	0.888	0.998
CD2	CD4	9606.ENSP00000358490	9606.ENSP00000011653	0	0	0	0	0.373	0.087	0	0.994	0.996
CD2	CD80	9606.ENSP00000358490	9606.ENSP00000264246	0	0	0	0	0.149	0.126	0	0.880	0.903
CD2	ICAM1	9606.ENSP00000358490	9606.ENSP00000264832	0	0	0	0	0.044	0	0	0.992	0.992
CD2	CD28	9606.ENSP00000358490	9606.ENSP00000324890	0	0	0	0	0.287	0	0	0.981	0.985
CD2	CD8A	9606.ENSP00000358490	9606.ENSP00000386559	0	0	0	0	0.802	0	0	0.995	0.998
CD2	CD58	9606.ENSP00000358490	9606.ENSP00000358501	0	0	0	0	0.088	0.960	0.900	0.999	0.999
CD27	CD4	9606.ENSP00000266557	9606.ENSP00000011653	0	0	0	0	0.109	0	0	0.926	0.931
CD27	CD80	9606.ENSP00000266557	9606.ENSP00000264246	0	0	0	0	0.067	0	0	0.989	0.989
CD27	TNFRSF9	9606.ENSP00000266557	9606.ENSP00000478699	0	0	0	0	0.057	0	0	0.915	0.916
CD27	CD40	9606.ENSP00000266557	9606.ENSP00000361359	0	0	0	0.610	0.078	0	0	0.918	0.921
CD27	TNFRSF4	9606.ENSP00000266557	9606.ENSP00000368538	0	0	0	0	0.115	0	0	0.929	0.934
CD27	CD40LG	9606.ENSP00000266557	9606.ENSP00000359663	0	0	0	0	0.221	0	0	0.919	0.934
CD27	CD8A	9606.ENSP00000266557	9606.ENSP00000386559	0	0	0	0	0.289	0	0	0.916	0.937
CD27	CD86	9606.ENSP00000266557	9606.ENSP00000332049	0	0	0	0	0.133	0	0	0.992	0.992
CD274	CD4	9606.ENSP00000370989	9606.ENSP00000011653	0	0	0	0	0	0	0.500	0.883	0.938
