#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0009897	External side of plasma membrane	22	388	1.56	1.93e-27	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000228434,9606.ENSP00000264246,9606.ENSP00000264832,9606.ENSP00000266557,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000358490,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000368450,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000398698,9606.ENSP00000478699,9606.ENSP00000497102,9606.ENSP00000497910	CD4,LAG3,CD69,CD80,ICAM1,CD27,CD276,CD28,CD86,PDCD1,CD2,CD40LG,CD40,CD83,TNFRSF4,CD274,PDCD1LG2,CD8A,TNF,TNFRSF9,CTLA4,B2M
GO:0009986	Cell surface	25	894	1.25	2.13e-25	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000228434,9606.ENSP00000264246,9606.ENSP00000264832,9606.ENSP00000266557,9606.ENSP00000312002,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000358490,9606.ENSP00000358501,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000368450,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000398698,9606.ENSP00000419085,9606.ENSP00000478699,9606.ENSP00000497102,9606.ENSP00000497910	CD4,LAG3,CD69,CD80,ICAM1,CD27,HAVCR2,CD276,CD28,CD86,PDCD1,CD2,CD58,CD40LG,CD40,CD83,TNFRSF4,CD274,PDCD1LG2,CD8A,TNF,TIGIT,TNFRSF9,CTLA4,B2M
GO:0005886	Plasma membrane	27	5544	0.49	6.45e-09	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000228434,9606.ENSP00000229729,9606.ENSP00000264246,9606.ENSP00000264832,9606.ENSP00000266557,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000358490,9606.ENSP00000358501,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000368450,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000398698,9606.ENSP00000419085,9606.ENSP00000478699,9606.ENSP00000497102,9606.ENSP00000497910	CD4,LAG3,CD69,SLC44A4,CD80,ICAM1,CD27,HAVCR2,ICOS,CD276,CD28,CD86,PDCD1,CD2,CD58,CD40LG,CD40,CD83,TNFRSF4,CD274,PDCD1LG2,CD8A,TNF,TIGIT,TNFRSF9,CTLA4,B2M
GO:0016021	Integral component of membrane	27	5670	0.48	9.14e-09	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000228434,9606.ENSP00000229729,9606.ENSP00000264246,9606.ENSP00000264832,9606.ENSP00000266557,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000358490,9606.ENSP00000358501,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000368450,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000398698,9606.ENSP00000419085,9606.ENSP00000478699,9606.ENSP00000497102,9606.ENSP00000497910	CD4,LAG3,CD69,SLC44A4,CD80,ICAM1,CD27,HAVCR2,ICOS,CD276,CD28,CD86,PDCD1,CD2,CD58,CD40LG,CD40,CD83,TNFRSF4,CD274,PDCD1LG2,CD8A,TNF,TIGIT,TNFRSF9,CTLA4,B2M
GO:0005887	Integral component of plasma membrane	15	1706	0.75	2.43e-06	9606.ENSP00000011653,9606.ENSP00000228434,9606.ENSP00000264832,9606.ENSP00000266557,9606.ENSP00000324890,9606.ENSP00000358490,9606.ENSP00000358501,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000368450,9606.ENSP00000368538,9606.ENSP00000386559,9606.ENSP00000398698,9606.ENSP00000478699,9606.ENSP00000497102	CD4,CD69,ICAM1,CD27,CD28,CD2,CD58,CD40LG,CD40,CD83,TNFRSF4,CD8A,TNF,TNFRSF9,CTLA4
GO:0005576	Extracellular region	18	4175	0.44	0.0016	9606.ENSP00000203629,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000229729,9606.ENSP00000264832,9606.ENSP00000266557,9606.ENSP00000319476,9606.ENSP00000332049,9606.ENSP00000358490,9606.ENSP00000358501,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000497910	LAG3,IL2,IFNG,SLC44A4,ICAM1,CD27,ICOS,CD86,CD2,CD58,CD40LG,CD40,CD274,PDCD1LG2,CD8A,TNF,IL10,B2M
GO:0001772	Immunological synapse	3	43	1.65	0.0087	9606.ENSP00000264832,9606.ENSP00000312002,9606.ENSP00000324890	ICAM1,HAVCR2,CD28
GO:0098636	Protein complex involved in cell adhesion	3	52	1.56	0.0137	9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000497102	CD80,CD28,CTLA4
GO:0045121	Membrane raft	5	320	1.0	0.0205	9606.ENSP00000011653,9606.ENSP00000264832,9606.ENSP00000358490,9606.ENSP00000386559,9606.ENSP00000398698	CD4,ICAM1,CD2,CD8A,TNF
GO:0098802	Plasma membrane signaling receptor complex	4	194	1.12	0.0320	9606.ENSP00000011653,9606.ENSP00000361359,9606.ENSP00000386559,9606.ENSP00000497910	CD4,CD40,CD8A,B2M
