#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04514	Cell adhesion molecules	17	138	1.89	5.44e-26	9606.ENSP00000011653,9606.ENSP00000264246,9606.ENSP00000264832,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000358490,9606.ENSP00000358501,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000419085,9606.ENSP00000497102	CD4,CD80,ICAM1,ICOS,CD276,CD28,CD86,PDCD1,CD2,CD58,CD40LG,CD40,CD274,PDCD1LG2,CD8A,TIGIT,CTLA4
hsa04660	T cell receptor signaling pathway	11	100	1.84	1.39e-15	9606.ENSP00000011653,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000335062,9606.ENSP00000359663,9606.ENSP00000386559,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000497102	CD4,IL2,IFNG,ICOS,CD28,PDCD1,CD40LG,CD8A,TNF,IL10,CTLA4
hsa05330	Allograft rejection	9	34	2.23	1.39e-15	9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000398698,9606.ENSP00000412237	IL2,IFNG,CD80,CD28,CD86,CD40LG,CD40,TNF,IL10
hsa04672	Intestinal immune network for IgA production	8	43	2.07	7.10e-13	9606.ENSP00000226730,9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000412237	IL2,CD80,ICOS,CD28,CD86,CD40LG,CD40,IL10
hsa05320	Autoimmune thyroid disease	8	48	2.02	1.26e-12	9606.ENSP00000226730,9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000412237,9606.ENSP00000497102	IL2,CD80,CD28,CD86,CD40LG,CD40,IL10,CTLA4
hsa05322	Systemic lupus erythematosus	8	94	1.73	1.55e-10	9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000398698,9606.ENSP00000412237	IFNG,CD80,CD28,CD86,CD40LG,CD40,TNF,IL10
hsa04060	Cytokine-cytokine receptor interaction	10	282	1.35	6.99e-10	9606.ENSP00000011653,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000266557,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000368538,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000478699	CD4,IL2,IFNG,CD27,CD40LG,CD40,TNFRSF4,TNF,IL10,TNFRSF9
hsa05332	Graft-versus-host disease	6	36	2.02	1.91e-09	9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000398698	IL2,IFNG,CD80,CD28,CD86,TNF
hsa04940	Type I diabetes mellitus	6	38	2.0	2.27e-09	9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000398698	IL2,IFNG,CD80,CD28,CD86,TNF
hsa05323	Rheumatoid arthritis	7	83	1.73	2.62e-09	9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000264832,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000398698,9606.ENSP00000497102	IFNG,CD80,ICAM1,CD28,CD86,TNF,CTLA4
