#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0002694	Regulation of leukocyte activation	25	601	1.42	2.07e-28	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000266557,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000358490,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000365380,9606.ENSP00000368450,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000419085,9606.ENSP00000478699,9606.ENSP00000497102,9606.ENSP00000497910	CD4,LAG3,IL2,IFNG,CD80,CD27,HAVCR2,ICOS,CD276,CD28,CD86,CD2,CD40LG,CD40,FOXP3,CD83,TNFRSF4,CD274,PDCD1LG2,TNF,IL10,TIGIT,TNFRSF9,CTLA4,B2M
GO:0051249	Regulation of lymphocyte activation	24	508	1.48	2.26e-28	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000266557,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000358490,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000365380,9606.ENSP00000368450,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000412237,9606.ENSP00000419085,9606.ENSP00000478699,9606.ENSP00000497102,9606.ENSP00000497910	CD4,LAG3,IL2,IFNG,CD80,CD27,HAVCR2,ICOS,CD276,CD28,CD86,CD2,CD40LG,CD40,FOXP3,CD83,TNFRSF4,CD274,PDCD1LG2,IL10,TIGIT,TNFRSF9,CTLA4,B2M
GO:0050863	Regulation of T cell activation	22	376	1.57	1.90e-27	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000266557,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000358490,9606.ENSP00000359663,9606.ENSP00000365380,9606.ENSP00000368450,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000412237,9606.ENSP00000419085,9606.ENSP00000478699,9606.ENSP00000497102,9606.ENSP00000497910	CD4,LAG3,IL2,IFNG,CD80,CD27,HAVCR2,ICOS,CD276,CD28,CD86,CD2,CD40LG,FOXP3,CD83,CD274,PDCD1LG2,IL10,TIGIT,TNFRSF9,CTLA4,B2M
GO:1903037	Regulation of leukocyte cell-cell adhesion	21	368	1.56	1.05e-25	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000266557,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000359663,9606.ENSP00000365380,9606.ENSP00000368450,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000419085,9606.ENSP00000497102,9606.ENSP00000497910	CD4,LAG3,IL2,IFNG,CD80,CD27,HAVCR2,ICOS,CD276,CD28,CD86,CD40LG,FOXP3,CD83,CD274,PDCD1LG2,TNF,IL10,TIGIT,CTLA4,B2M
GO:0002682	Regulation of immune system process	28	1438	1.09	1.81e-25	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000264832,9606.ENSP00000266557,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000358490,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000365380,9606.ENSP00000368450,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000419085,9606.ENSP00000478699,9606.ENSP00000497102,9606.ENSP00000497910	CD4,LAG3,IL2,IFNG,CD80,ICAM1,CD27,HAVCR2,ICOS,CD276,CD28,CD86,PDCD1,CD2,CD40LG,CD40,FOXP3,CD83,TNFRSF4,CD274,PDCD1LG2,CD8A,TNF,IL10,TIGIT,TNFRSF9,CTLA4,B2M
GO:0002696	Positive regulation of leukocyte activation	21	384	1.54	1.81e-25	9606.ENSP00000011653,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000266557,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000358490,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000365380,9606.ENSP00000368450,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000497910	CD4,IL2,IFNG,CD80,CD27,HAVCR2,ICOS,CD276,CD28,CD86,CD2,CD40LG,CD40,FOXP3,CD83,TNFRSF4,CD274,PDCD1LG2,TNF,IL10,B2M
GO:0002684	Positive regulation of immune system process	25	874	1.26	2.35e-25	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000264832,9606.ENSP00000266557,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000358490,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000365380,9606.ENSP00000368450,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000497102,9606.ENSP00000497910	CD4,LAG3,IL2,IFNG,CD80,ICAM1,CD27,HAVCR2,ICOS,CD276,CD28,CD86,CD2,CD40LG,CD40,FOXP3,CD83,TNFRSF4,CD274,PDCD1LG2,CD8A,TNF,IL10,CTLA4,B2M
GO:0006955	Immune response	26	1321	1.1	6.78e-23	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000264832,9606.ENSP00000266557,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000358490,9606.ENSP00000358501,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000365380,9606.ENSP00000368450,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000497102,9606.ENSP00000497910	CD4,LAG3,IL2,IFNG,CD80,ICAM1,CD27,HAVCR2,ICOS,CD28,CD86,PDCD1,CD2,CD58,CD40LG,CD40,FOXP3,CD83,TNFRSF4,CD274,PDCD1LG2,CD8A,TNF,IL10,CTLA4,B2M
GO:0051251	Positive regulation of lymphocyte activation	19	336	1.56	6.78e-23	9606.ENSP00000011653,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000266557,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000365380,9606.ENSP00000368450,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000412237,9606.ENSP00000497910	CD4,IL2,IFNG,CD80,CD27,HAVCR2,ICOS,CD276,CD28,CD86,CD40LG,CD40,FOXP3,CD83,TNFRSF4,CD274,PDCD1LG2,IL10,B2M
GO:0022409	Positive regulation of cell-cell adhesion	18	322	1.55	2.33e-21	9606.ENSP00000011653,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000266557,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000359663,9606.ENSP00000365380,9606.ENSP00000368450,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000497910	CD4,IL2,IFNG,CD80,CD27,HAVCR2,ICOS,CD276,CD28,CD86,CD40LG,FOXP3,CD83,CD274,PDCD1LG2,TNF,IL10,B2M
