#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-388841	Costimulation by the CD28 family	14	66	2.0	1.07e-20	9606.ENSP00000011653,9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000346671,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000391592,9606.ENSP00000477713,9606.ENSP00000485129,9606.ENSP00000489597,9606.ENSP00000497102	CD4,CD80,ICOS,CD28,CD86,PDCD1,FYN,CD274,PDCD1LG2,PTPN6,LCK,LOC102723996,PTPN11,CTLA4
HSA-168256	Immune System	28	1979	0.82	1.94e-15	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000252483,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000328207,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000346671,9606.ENSP00000361359,9606.ENSP00000362108,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000402060,9606.ENSP00000403362,9606.ENSP00000412237,9606.ENSP00000477713,9606.ENSP00000485129,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,IL2,IFNG,NECTIN2,CD80,HAVCR2,ICOS,CD28,TNFRSF18,CD86,PDCD1,FYN,CD40,LCN2,TNFRSF4,CD274,LGALS9,PDCD1LG2,CD8A,PTPN6,PVR,AP2M1,IL10,LCK,LOC102723996,PTPN11,CTLA4
HSA-1280218	Adaptive Immune System	20	758	1.09	1.11e-14	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000252483,9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000346671,9606.ENSP00000361359,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000402060,9606.ENSP00000403362,9606.ENSP00000477713,9606.ENSP00000485129,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,NECTIN2,CD80,ICOS,CD28,CD86,PDCD1,FYN,CD40,CD274,PDCD1LG2,CD8A,PTPN6,PVR,AP2M1,LCK,LOC102723996,PTPN11,CTLA4
HSA-389948	PD-1 signaling	7	20	2.22	5.72e-11	9606.ENSP00000011653,9606.ENSP00000335062,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000391592,9606.ENSP00000477713,9606.ENSP00000489597	CD4,PDCD1,CD274,PDCD1LG2,PTPN6,LCK,PTPN11
HSA-1280215	Cytokine Signaling in Immune system	16	706	1.03	2.72e-10	9606.ENSP00000011653,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000328207,9606.ENSP00000332049,9606.ENSP00000346671,9606.ENSP00000361359,9606.ENSP00000362108,9606.ENSP00000368538,9606.ENSP00000378856,9606.ENSP00000391592,9606.ENSP00000412237,9606.ENSP00000477713,9606.ENSP00000489597	CD4,IL2,IFNG,CD80,HAVCR2,TNFRSF18,CD86,FYN,CD40,LCN2,TNFRSF4,LGALS9,PTPN6,IL10,LCK,PTPN11
HSA-449147	Signaling by Interleukins	13	453	1.13	3.12e-09	9606.ENSP00000011653,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000332049,9606.ENSP00000346671,9606.ENSP00000362108,9606.ENSP00000378856,9606.ENSP00000391592,9606.ENSP00000412237,9606.ENSP00000477713,9606.ENSP00000489597	CD4,IL2,IFNG,CD80,HAVCR2,CD86,FYN,LCN2,LGALS9,PTPN6,IL10,LCK,PTPN11
HSA-389513	CTLA4 inhibitory signaling	6	21	2.13	5.97e-09	9606.ENSP00000264246,9606.ENSP00000332049,9606.ENSP00000346671,9606.ENSP00000477713,9606.ENSP00000489597,9606.ENSP00000497102	CD80,CD86,FYN,LCK,PTPN11,CTLA4
HSA-8877330	RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)	5	10	2.37	2.87e-08	9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000328207,9606.ENSP00000365380,9606.ENSP00000497102	IL2,IFNG,TNFRSF18,FOXP3,CTLA4
HSA-389359	CD28 dependent Vav1 pathway	5	12	2.29	5.25e-08	9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000346671,9606.ENSP00000477713	CD80,CD28,CD86,FYN,LCK
HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	7	78	1.62	1.16e-07	9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000346671,9606.ENSP00000477713,9606.ENSP00000489597	CD80,ICOS,CD28,CD86,FYN,LCK,PTPN11
HSA-389357	CD28 dependent PI3K/Akt signaling	5	22	2.03	5.51e-07	9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000346671,9606.ENSP00000477713	CD80,CD28,CD86,FYN,LCK
HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	7	106	1.49	6.82e-07	9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000346671,9606.ENSP00000477713,9606.ENSP00000489597	CD80,ICOS,CD28,CD86,FYN,LCK,PTPN11
HSA-164952	The role of Nef in HIV-1 replication and disease pathogenesis	5	27	1.94	1.00e-06	9606.ENSP00000011653,9606.ENSP00000324890,9606.ENSP00000346671,9606.ENSP00000403362,9606.ENSP00000477713	CD4,CD28,FYN,AP2M1,LCK
HSA-210990	PECAM1 interactions	4	12	2.19	4.25e-06	9606.ENSP00000346671,9606.ENSP00000391592,9606.ENSP00000477713,9606.ENSP00000489597	FYN,PTPN6,LCK,PTPN11
HSA-451927	Interleukin-2 family signaling	5	44	1.73	7.69e-06	9606.ENSP00000226730,9606.ENSP00000312002,9606.ENSP00000378856,9606.ENSP00000391592,9606.ENSP00000477713	IL2,HAVCR2,LGALS9,PTPN6,LCK
HSA-164938	Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	4	20	1.97	2.19e-05	9606.ENSP00000011653,9606.ENSP00000324890,9606.ENSP00000403362,9606.ENSP00000477713	CD4,CD28,AP2M1,LCK
