#node	identifier	node_degree
AP2M1	9606.ENSP00000403362	1
CD274	9606.ENSP00000370989	18
CD276	9606.ENSP00000320084	4
CD28	9606.ENSP00000324890	19
CD4	9606.ENSP00000011653	17
CD40	9606.ENSP00000361359	14
CD80	9606.ENSP00000264246	19
CD86	9606.ENSP00000332049	17
CD8A	9606.ENSP00000386559	17
CTLA4	9606.ENSP00000497102	41
FOXP3	9606.ENSP00000365380	11
FYN	9606.ENSP00000346671	5
HAVCR2	9606.ENSP00000312002	12
ICOS	9606.ENSP00000319476	14
ICOSLG	9606.ENSP00000339477	7
IDO1	9606.ENSP00000430950	3
IFNG	9606.ENSP00000229135	12
IGHV3-16	9606.ENSP00000478725	7
IGHV3-43D	9606.ENSP00000481152	11
IGHV3OR16-9	9606.ENSP00000475107	2
IL10	9606.ENSP00000412237	10
IL2	9606.ENSP00000226730	10
LAG3	9606.ENSP00000203629	13
LCK	9606.ENSP00000477713	8
LCN2	9606.ENSP00000362108	1
LGALS9	9606.ENSP00000378856	5
LGALS9B	9606.ENSP00000315564	5
LGALS9C	9606.ENSP00000329932	5
LOC102723407	9606.ENSP00000478289	5
LOC102723996	9606.ENSP00000485129	7
MTUS1	9606.ENSP00000262102	3
MTUS2	9606.ENSP00000498251	2
NECTIN2	9606.ENSP00000252483	2
PDCD1	9606.ENSP00000335062	20
PDCD1LG2	9606.ENSP00000380855	11
PTPN11	9606.ENSP00000489597	5
PTPN6	9606.ENSP00000391592	4
PVR	9606.ENSP00000402060	2
TIGIT	9606.ENSP00000419085	9
TNFRSF18	9606.ENSP00000328207	3
TNFRSF4	9606.ENSP00000368538	9
VTCN1	9606.ENSP00000358470	2
