#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0098552	Side of membrane	23	611	1.25	1.57e-20	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000264246,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000328207,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000339477,9606.ENSP00000346671,9606.ENSP00000358470,9606.ENSP00000361359,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000403362,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152,9606.ENSP00000485129,9606.ENSP00000497102	CD4,LAG3,CD80,CD276,CD28,TNFRSF18,CD86,PDCD1,ICOSLG,FYN,VTCN1,CD40,TNFRSF4,CD274,PDCD1LG2,CD8A,AP2M1,LCK,LOC102723407,IGHV3-16,IGHV3-43D,LOC102723996,CTLA4
GO:0009897	External side of plasma membrane	20	388	1.38	4.41e-20	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000264246,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000328207,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000339477,9606.ENSP00000358470,9606.ENSP00000361359,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152,9606.ENSP00000485129,9606.ENSP00000497102	CD4,LAG3,CD80,CD276,CD28,TNFRSF18,CD86,PDCD1,ICOSLG,VTCN1,CD40,TNFRSF4,CD274,PDCD1LG2,CD8A,LOC102723407,IGHV3-16,IGHV3-43D,LOC102723996,CTLA4
GO:0009986	Cell surface	24	894	1.1	8.48e-19	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000252483,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000328207,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000339477,9606.ENSP00000358470,9606.ENSP00000361359,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000402060,9606.ENSP00000419085,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152,9606.ENSP00000485129,9606.ENSP00000497102	CD4,LAG3,NECTIN2,CD80,HAVCR2,CD276,CD28,TNFRSF18,CD86,PDCD1,ICOSLG,VTCN1,CD40,TNFRSF4,CD274,PDCD1LG2,CD8A,PVR,TIGIT,LOC102723407,IGHV3-16,IGHV3-43D,LOC102723996,CTLA4
GO:0005886	Plasma membrane	30	5544	0.4	3.99e-06	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000252483,9606.ENSP00000262102,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000328207,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000339477,9606.ENSP00000346671,9606.ENSP00000358470,9606.ENSP00000361359,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000402060,9606.ENSP00000403362,9606.ENSP00000419085,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152,9606.ENSP00000485129,9606.ENSP00000497102	CD4,LAG3,NECTIN2,MTUS1,CD80,HAVCR2,ICOS,CD276,CD28,TNFRSF18,CD86,PDCD1,ICOSLG,FYN,VTCN1,CD40,TNFRSF4,CD274,PDCD1LG2,CD8A,PTPN6,PVR,AP2M1,TIGIT,LCK,LOC102723407,IGHV3-16,IGHV3-43D,LOC102723996,CTLA4
GO:0071944	Cell periphery	31	6015	0.38	4.16e-06	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000252483,9606.ENSP00000262102,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000328207,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000339477,9606.ENSP00000346671,9606.ENSP00000358470,9606.ENSP00000361359,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000402060,9606.ENSP00000403362,9606.ENSP00000419085,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152,9606.ENSP00000485129,9606.ENSP00000497102	CD4,LAG3,NECTIN2,MTUS1,CD80,HAVCR2,ICOS,CD276,CD28,TNFRSF18,CD86,PDCD1,ICOSLG,FYN,VTCN1,CD40,TNFRSF4,CD274,LGALS9,PDCD1LG2,CD8A,PTPN6,PVR,AP2M1,TIGIT,LCK,LOC102723407,IGHV3-16,IGHV3-43D,LOC102723996,CTLA4
GO:0005576	Extracellular region	25	4175	0.45	2.73e-05	9606.ENSP00000203629,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000252483,9606.ENSP00000262102,9606.ENSP00000319476,9606.ENSP00000328207,9606.ENSP00000332049,9606.ENSP00000339477,9606.ENSP00000361359,9606.ENSP00000362108,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000402060,9606.ENSP00000403362,9606.ENSP00000412237,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152,9606.ENSP00000485129,9606.ENSP00000498251	LAG3,IL2,IFNG,NECTIN2,MTUS1,ICOS,TNFRSF18,CD86,ICOSLG,CD40,LCN2,CD274,LGALS9,PDCD1LG2,CD8A,PTPN6,PVR,AP2M1,IL10,LCK,LOC102723407,IGHV3-16,IGHV3-43D,LOC102723996,MTUS2
GO:0042571	Immunoglobulin complex, circulating	3	12	2.07	0.0012	9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152	LOC102723407,IGHV3-16,IGHV3-43D
GO:0042101	T cell receptor complex	3	14	2.0	0.0015	9606.ENSP00000011653,9606.ENSP00000386559,9606.ENSP00000391592	CD4,CD8A,PTPN6
GO:0005615	Extracellular space	19	3247	0.44	0.0028	9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000252483,9606.ENSP00000262102,9606.ENSP00000332049,9606.ENSP00000339477,9606.ENSP00000361359,9606.ENSP00000362108,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000391592,9606.ENSP00000402060,9606.ENSP00000403362,9606.ENSP00000412237,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152,9606.ENSP00000485129	IL2,IFNG,NECTIN2,MTUS1,CD86,ICOSLG,CD40,LCN2,CD274,LGALS9,PTPN6,PVR,AP2M1,IL10,LCK,LOC102723407,IGHV3-16,IGHV3-43D,LOC102723996
GO:0001772	Immunological synapse	3	43	1.51	0.0237	9606.ENSP00000312002,9606.ENSP00000324890,9606.ENSP00000477713	HAVCR2,CD28,LCK
