#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04514	Cell adhesion molecules	17	138	1.76	4.81e-23	9606.ENSP00000011653,9606.ENSP00000252483,9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000358470,9606.ENSP00000361359,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000402060,9606.ENSP00000419085,9606.ENSP00000485129,9606.ENSP00000497102	CD4,NECTIN2,CD80,ICOS,CD276,CD28,CD86,PDCD1,VTCN1,CD40,CD274,PDCD1LG2,CD8A,PVR,TIGIT,LOC102723996,CTLA4
hsa04660	T cell receptor signaling pathway	12	100	1.75	9.78e-16	9606.ENSP00000011653,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000335062,9606.ENSP00000346671,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000412237,9606.ENSP00000477713,9606.ENSP00000497102	CD4,IL2,IFNG,ICOS,CD28,PDCD1,FYN,CD8A,PTPN6,IL10,LCK,CTLA4
hsa04672	Intestinal immune network for IgA production	9	43	1.99	1.37e-13	9606.ENSP00000226730,9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000361359,9606.ENSP00000412237,9606.ENSP00000478289,9606.ENSP00000485129	IL2,CD80,ICOS,CD28,CD86,CD40,IL10,LOC102723407,LOC102723996
hsa05330	Allograft rejection	8	34	2.04	1.94e-12	9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000361359,9606.ENSP00000412237,9606.ENSP00000478289	IL2,IFNG,CD80,CD28,CD86,CD40,IL10,LOC102723407
hsa05320	Autoimmune thyroid disease	8	48	1.89	1.83e-11	9606.ENSP00000226730,9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000361359,9606.ENSP00000412237,9606.ENSP00000478289,9606.ENSP00000497102	IL2,CD80,CD28,CD86,CD40,IL10,LOC102723407,CTLA4
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	8	87	1.63	1.23e-09	9606.ENSP00000011653,9606.ENSP00000229135,9606.ENSP00000324890,9606.ENSP00000335062,9606.ENSP00000370989,9606.ENSP00000391592,9606.ENSP00000477713,9606.ENSP00000489597	CD4,IFNG,CD28,PDCD1,CD274,PTPN6,LCK,PTPN11
hsa05340	Primary immunodeficiency	6	37	1.88	1.76e-08	9606.ENSP00000011653,9606.ENSP00000319476,9606.ENSP00000361359,9606.ENSP00000386559,9606.ENSP00000477713,9606.ENSP00000478289	CD4,ICOS,CD40,CD8A,LCK,LOC102723407
hsa05322	Systemic lupus erythematosus	7	94	1.54	7.27e-08	9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000361359,9606.ENSP00000412237,9606.ENSP00000478289	IFNG,CD80,CD28,CD86,CD40,IL10,LOC102723407
hsa05416	Viral myocarditis	6	55	1.71	1.21e-07	9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000346671,9606.ENSP00000361359,9606.ENSP00000478289	CD80,CD28,CD86,FYN,CD40,LOC102723407
hsa05332	Graft-versus-host disease	5	36	1.81	8.11e-07	9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049	IL2,IFNG,CD80,CD28,CD86
hsa04940	Type I diabetes mellitus	5	38	1.79	9.44e-07	9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049	IL2,IFNG,CD80,CD28,CD86
hsa05323	Rheumatoid arthritis	6	83	1.53	9.44e-07	9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000478289,9606.ENSP00000497102	IFNG,CD80,CD28,CD86,LOC102723407,CTLA4
hsa04650	Natural killer cell mediated cytotoxicity	6	120	1.37	6.74e-06	9606.ENSP00000229135,9606.ENSP00000346671,9606.ENSP00000391592,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000489597	IFNG,FYN,PTPN6,LCK,LOC102723407,PTPN11
hsa05135	Yersinia infection	6	124	1.36	7.53e-06	9606.ENSP00000011653,9606.ENSP00000226730,9606.ENSP00000386559,9606.ENSP00000412237,9606.ENSP00000477713,9606.ENSP00000478289	CD4,IL2,CD8A,IL10,LCK,LOC102723407
hsa05143	African trypanosomiasis	4	36	1.72	3.43e-05	9606.ENSP00000229135,9606.ENSP00000412237,9606.ENSP00000430950,9606.ENSP00000478289	IFNG,IL10,IDO1,LOC102723407
hsa04060	Cytokine-cytokine receptor interaction	7	282	1.07	4.90e-05	9606.ENSP00000011653,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000328207,9606.ENSP00000361359,9606.ENSP00000368538,9606.ENSP00000412237	CD4,IL2,IFNG,TNFRSF18,CD40,TNFRSF4,IL10
hsa04659	Th17 cell differentiation	5	99	1.37	5.30e-05	9606.ENSP00000011653,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000365380,9606.ENSP00000477713	CD4,IL2,IFNG,FOXP3,LCK
hsa05321	Inflammatory bowel disease	4	59	1.5	0.00018	9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000365380,9606.ENSP00000412237	IL2,IFNG,FOXP3,IL10
hsa05140	Leishmaniasis	4	69	1.43	0.00031	9606.ENSP00000229135,9606.ENSP00000391592,9606.ENSP00000412237,9606.ENSP00000478289	IFNG,PTPN6,IL10,LOC102723407
hsa04630	JAK-STAT signaling pathway	5	158	1.17	0.00040	9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000391592,9606.ENSP00000412237,9606.ENSP00000489597	IL2,IFNG,PTPN6,IL10,PTPN11
hsa05310	Asthma	3	27	1.72	0.00056	9606.ENSP00000361359,9606.ENSP00000412237,9606.ENSP00000478289	CD40,IL10,LOC102723407
hsa04658	Th1 and Th2 cell differentiation	4	85	1.34	0.00058	9606.ENSP00000011653,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000477713	CD4,IL2,IFNG,LCK
hsa05144	Malaria	3	46	1.49	0.0023	9606.ENSP00000229135,9606.ENSP00000361359,9606.ENSP00000412237	IFNG,CD40,IL10
hsa04612	Antigen processing and presentation	3	64	1.34	0.0055	9606.ENSP00000011653,9606.ENSP00000229135,9606.ENSP00000386559	CD4,IFNG,CD8A
hsa04520	Adherens junction	3	69	1.31	0.0065	9606.ENSP00000252483,9606.ENSP00000346671,9606.ENSP00000391592	NECTIN2,FYN,PTPN6
hsa05130	Pathogenic Escherichia coli infection	4	187	1.0	0.0092	9606.ENSP00000346671,9606.ENSP00000391592,9606.ENSP00000478289,9606.ENSP00000489597	FYN,PTPN6,LOC102723407,PTPN11
hsa04640	Hematopoietic cell lineage	3	90	1.19	0.0127	9606.ENSP00000011653,9606.ENSP00000386559,9606.ENSP00000478289	CD4,CD8A,LOC102723407
hsa05166	Human T-cell leukemia virus 1 infection	4	210	0.95	0.0131	9606.ENSP00000011653,9606.ENSP00000226730,9606.ENSP00000361359,9606.ENSP00000477713	CD4,IL2,CD40,LCK
hsa05142	Chagas disease	3	97	1.16	0.0145	9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000412237	IL2,IFNG,IL10
hsa04064	NF-kappa B signaling pathway	3	101	1.14	0.0153	9606.ENSP00000361359,9606.ENSP00000477713,9606.ENSP00000478289	CD40,LCK,LOC102723407
hsa04620	Toll-like receptor signaling pathway	3	100	1.15	0.0153	9606.ENSP00000264246,9606.ENSP00000332049,9606.ENSP00000361359	CD80,CD86,CD40
hsa04625	C-type lectin receptor signaling pathway	3	101	1.14	0.0153	9606.ENSP00000226730,9606.ENSP00000412237,9606.ENSP00000489597	IL2,IL10,PTPN11
hsa05145	Toxoplasmosis	3	103	1.14	0.0153	9606.ENSP00000229135,9606.ENSP00000361359,9606.ENSP00000412237	IFNG,CD40,IL10
hsa05146	Amoebiasis	3	101	1.14	0.0153	9606.ENSP00000229135,9606.ENSP00000412237,9606.ENSP00000478289	IFNG,IL10,LOC102723407
