#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0002694	Regulation of leukocyte activation	33	601	1.41	6.95e-38	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000252483,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000315564,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000329932,9606.ENSP00000332049,9606.ENSP00000339477,9606.ENSP00000346671,9606.ENSP00000358470,9606.ENSP00000361359,9606.ENSP00000365380,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000391592,9606.ENSP00000412237,9606.ENSP00000419085,9606.ENSP00000430950,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152,9606.ENSP00000485129,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,IL2,IFNG,NECTIN2,CD80,HAVCR2,LGALS9B,ICOS,CD276,CD28,LGALS9C,CD86,ICOSLG,FYN,VTCN1,CD40,FOXP3,TNFRSF4,CD274,LGALS9,PDCD1LG2,PTPN6,IL10,TIGIT,IDO1,LCK,LOC102723407,IGHV3-16,IGHV3-43D,LOC102723996,PTPN11,CTLA4
GO:0051249	Regulation of lymphocyte activation	32	508	1.47	6.95e-38	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000315564,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000329932,9606.ENSP00000332049,9606.ENSP00000339477,9606.ENSP00000346671,9606.ENSP00000358470,9606.ENSP00000361359,9606.ENSP00000365380,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000391592,9606.ENSP00000412237,9606.ENSP00000419085,9606.ENSP00000430950,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152,9606.ENSP00000485129,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,IL2,IFNG,CD80,HAVCR2,LGALS9B,ICOS,CD276,CD28,LGALS9C,CD86,ICOSLG,FYN,VTCN1,CD40,FOXP3,TNFRSF4,CD274,LGALS9,PDCD1LG2,PTPN6,IL10,TIGIT,IDO1,LCK,LOC102723407,IGHV3-16,IGHV3-43D,LOC102723996,PTPN11,CTLA4
GO:0002682	Regulation of immune system process	38	1438	1.09	3.33e-35	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000252483,9606.ENSP00000262102,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000315564,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000328207,9606.ENSP00000329932,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000339477,9606.ENSP00000346671,9606.ENSP00000358470,9606.ENSP00000361359,9606.ENSP00000365380,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000402060,9606.ENSP00000412237,9606.ENSP00000419085,9606.ENSP00000430950,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152,9606.ENSP00000485129,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,IL2,IFNG,NECTIN2,MTUS1,CD80,HAVCR2,LGALS9B,ICOS,CD276,CD28,TNFRSF18,LGALS9C,CD86,PDCD1,ICOSLG,FYN,VTCN1,CD40,FOXP3,TNFRSF4,CD274,LGALS9,PDCD1LG2,CD8A,PTPN6,PVR,IL10,TIGIT,IDO1,LCK,LOC102723407,IGHV3-16,IGHV3-43D,LOC102723996,PTPN11,CTLA4
GO:0002684	Positive regulation of immune system process	33	874	1.25	3.83e-33	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000252483,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000328207,9606.ENSP00000332049,9606.ENSP00000339477,9606.ENSP00000346671,9606.ENSP00000358470,9606.ENSP00000361359,9606.ENSP00000365380,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000402060,9606.ENSP00000412237,9606.ENSP00000430950,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152,9606.ENSP00000485129,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,IL2,IFNG,NECTIN2,CD80,HAVCR2,ICOS,CD276,CD28,TNFRSF18,CD86,ICOSLG,FYN,VTCN1,CD40,FOXP3,TNFRSF4,CD274,LGALS9,PDCD1LG2,CD8A,PTPN6,PVR,IL10,IDO1,LCK,LOC102723407,IGHV3-16,IGHV3-43D,LOC102723996,PTPN11,CTLA4
GO:1903037	Regulation of leukocyte cell-cell adhesion	27	368	1.54	1.09e-32	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000315564,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000329932,9606.ENSP00000332049,9606.ENSP00000339477,9606.ENSP00000346671,9606.ENSP00000358470,9606.ENSP00000365380,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000391592,9606.ENSP00000412237,9606.ENSP00000419085,9606.ENSP00000430950,9606.ENSP00000477713,9606.ENSP00000485129,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,IL2,IFNG,CD80,HAVCR2,LGALS9B,ICOS,CD276,CD28,LGALS9C,CD86,ICOSLG,FYN,VTCN1,FOXP3,CD274,LGALS9,PDCD1LG2,PTPN6,IL10,TIGIT,IDO1,LCK,LOC102723996,PTPN11,CTLA4
GO:0050863	Regulation of T cell activation	27	376	1.53	1.63e-32	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000315564,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000329932,9606.ENSP00000332049,9606.ENSP00000339477,9606.ENSP00000346671,9606.ENSP00000358470,9606.ENSP00000365380,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000391592,9606.ENSP00000412237,9606.ENSP00000419085,9606.ENSP00000430950,9606.ENSP00000477713,9606.ENSP00000485129,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,IL2,IFNG,CD80,HAVCR2,LGALS9B,ICOS,CD276,CD28,LGALS9C,CD86,ICOSLG,FYN,VTCN1,FOXP3,CD274,LGALS9,PDCD1LG2,PTPN6,IL10,TIGIT,IDO1,LCK,LOC102723996,PTPN11,CTLA4
GO:0002696	Positive regulation of leukocyte activation	27	384	1.52	2.46e-32	9606.ENSP00000011653,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000252483,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000339477,9606.ENSP00000346671,9606.ENSP00000358470,9606.ENSP00000361359,9606.ENSP00000365380,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000391592,9606.ENSP00000412237,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152,9606.ENSP00000485129,9606.ENSP00000489597	CD4,IL2,IFNG,NECTIN2,CD80,HAVCR2,ICOS,CD276,CD28,CD86,ICOSLG,FYN,VTCN1,CD40,FOXP3,TNFRSF4,CD274,LGALS9,PDCD1LG2,PTPN6,IL10,LCK,LOC102723407,IGHV3-16,IGHV3-43D,LOC102723996,PTPN11
GO:0051251	Positive regulation of lymphocyte activation	26	336	1.56	6.34e-32	9606.ENSP00000011653,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000339477,9606.ENSP00000346671,9606.ENSP00000358470,9606.ENSP00000361359,9606.ENSP00000365380,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000391592,9606.ENSP00000412237,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152,9606.ENSP00000485129,9606.ENSP00000489597	CD4,IL2,IFNG,CD80,HAVCR2,ICOS,CD276,CD28,CD86,ICOSLG,FYN,VTCN1,CD40,FOXP3,TNFRSF4,CD274,LGALS9,PDCD1LG2,PTPN6,IL10,LCK,LOC102723407,IGHV3-16,IGHV3-43D,LOC102723996,PTPN11
GO:0050778	Positive regulation of immune response	28	502	1.42	2.68e-31	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000252483,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000339477,9606.ENSP00000346671,9606.ENSP00000358470,9606.ENSP00000361359,9606.ENSP00000365380,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000402060,9606.ENSP00000412237,9606.ENSP00000430950,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152,9606.ENSP00000485129,9606.ENSP00000497102	CD4,LAG3,IL2,IFNG,NECTIN2,CD80,HAVCR2,CD276,CD28,CD86,ICOSLG,FYN,VTCN1,CD40,FOXP3,CD274,LGALS9,CD8A,PTPN6,PVR,IL10,IDO1,LCK,LOC102723407,IGHV3-16,IGHV3-43D,LOC102723996,CTLA4
GO:0050776	Regulation of immune response	30	844	1.22	1.20e-28	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000252483,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000339477,9606.ENSP00000346671,9606.ENSP00000358470,9606.ENSP00000361359,9606.ENSP00000365380,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000402060,9606.ENSP00000412237,9606.ENSP00000430950,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152,9606.ENSP00000485129,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,IL2,IFNG,NECTIN2,CD80,HAVCR2,CD276,CD28,CD86,PDCD1,ICOSLG,FYN,VTCN1,CD40,FOXP3,CD274,LGALS9,CD8A,PTPN6,PVR,IL10,IDO1,LCK,LOC102723407,IGHV3-16,IGHV3-43D,LOC102723996,PTPN11,CTLA4
