#node	identifier	node_degree
CD274	9606.ENSP00000370989	13
CD28	9606.ENSP00000324890	13
CD4	9606.ENSP00000011653	11
CD80	9606.ENSP00000264246	11
CD86	9606.ENSP00000332049	11
CD8A	9606.ENSP00000386559	11
CTLA4	9606.ENSP00000497102	20
ICOS	9606.ENSP00000319476	10
IFNG	9606.ENSP00000229135	7
IGHV3-16	9606.ENSP00000478725	7
IGHV3-43D	9606.ENSP00000481152	11
IGKV1-33	9606.ENSP00000479032	7
IGKV1D-33	9606.ENSP00000482678	7
IGKV2D-28	9606.ENSP00000452662	4
IGKV2D-29	9606.ENSP00000483567	7
LAG3	9606.ENSP00000203629	11
LGALS9	9606.ENSP00000378856	3
LGALS9B	9606.ENSP00000315564	3
LGALS9C	9606.ENSP00000329932	3
LOC102723407	9606.ENSP00000478289	5
MTUS1	9606.ENSP00000262102	3
PDCD1	9606.ENSP00000335062	24
PDCD1LG2	9606.ENSP00000380855	9
PTPN11	9606.ENSP00000489597	4
PTPN6	9606.ENSP00000391592	3
