#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0051249	Regulation of lymphocyte activation	18	508	1.45	2.22e-19	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000315564,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000329932,9606.ENSP00000332049,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000391592,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,IFNG,CD80,LGALS9B,ICOS,CD28,LGALS9C,CD86,CD274,LGALS9,PDCD1LG2,PTPN6,LOC102723407,IGHV3-16,IGHV3-43D,PTPN11,CTLA4
GO:0002250	Adaptive immune response	16	359	1.55	2.10e-18	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000229135,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000452662,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000479032,9606.ENSP00000481152,9606.ENSP00000482678,9606.ENSP00000483567,9606.ENSP00000497102	CD4,LAG3,IFNG,CD86,PDCD1,CD274,PDCD1LG2,CD8A,IGKV2D-28,LOC102723407,IGHV3-16,IGKV1-33,IGHV3-43D,IGKV1D-33,IGKV2D-29,CTLA4
GO:0006955	Immune response	21	1321	1.1	8.09e-18	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000452662,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000479032,9606.ENSP00000481152,9606.ENSP00000482678,9606.ENSP00000483567,9606.ENSP00000497102	CD4,LAG3,IFNG,CD80,ICOS,CD28,CD86,PDCD1,CD274,LGALS9,PDCD1LG2,CD8A,PTPN6,IGKV2D-28,LOC102723407,IGHV3-16,IGKV1-33,IGHV3-43D,IGKV1D-33,IGKV2D-29,CTLA4
GO:0002682	Regulation of immune system process	21	1438	1.06	3.86e-17	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000229135,9606.ENSP00000262102,9606.ENSP00000264246,9606.ENSP00000315564,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000329932,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,IFNG,MTUS1,CD80,LGALS9B,ICOS,CD28,LGALS9C,CD86,PDCD1,CD274,LGALS9,PDCD1LG2,CD8A,PTPN6,LOC102723407,IGHV3-16,IGHV3-43D,PTPN11,CTLA4
GO:1903037	Regulation of leukocyte cell-cell adhesion	15	368	1.51	9.84e-17	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000315564,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000329932,9606.ENSP00000332049,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000391592,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,IFNG,CD80,LGALS9B,ICOS,CD28,LGALS9C,CD86,CD274,LGALS9,PDCD1LG2,PTPN6,PTPN11,CTLA4
GO:0050863	Regulation of T cell activation	15	376	1.5	1.18e-16	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000315564,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000329932,9606.ENSP00000332049,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000391592,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,IFNG,CD80,LGALS9B,ICOS,CD28,LGALS9C,CD86,CD274,LGALS9,PDCD1LG2,PTPN6,PTPN11,CTLA4
GO:0002376	Immune system process	22	2121	0.91	1.54e-15	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000452662,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000479032,9606.ENSP00000481152,9606.ENSP00000482678,9606.ENSP00000483567,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,IFNG,CD80,ICOS,CD28,CD86,PDCD1,CD274,LGALS9,PDCD1LG2,CD8A,PTPN6,IGKV2D-28,LOC102723407,IGHV3-16,IGKV1-33,IGHV3-43D,IGKV1D-33,IGKV2D-29,PTPN11,CTLA4
GO:0051251	Positive regulation of lymphocyte activation	14	336	1.52	1.54e-15	9606.ENSP00000011653,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000391592,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152,9606.ENSP00000489597	CD4,IFNG,CD80,ICOS,CD28,CD86,CD274,LGALS9,PDCD1LG2,PTPN6,LOC102723407,IGHV3-16,IGHV3-43D,PTPN11
GO:0002684	Positive regulation of immune system process	17	874	1.19	1.09e-14	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,IFNG,CD80,ICOS,CD28,CD86,CD274,LGALS9,PDCD1LG2,CD8A,PTPN6,LOC102723407,IGHV3-16,IGHV3-43D,PTPN11,CTLA4
GO:0050776	Regulation of immune response	16	844	1.17	2.12e-13	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,IFNG,CD80,CD28,CD86,PDCD1,CD274,LGALS9,CD8A,PTPN6,LOC102723407,IGHV3-16,IGHV3-43D,PTPN11,CTLA4
