#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-388841	Costimulation by the CD28 family	11	66	2.19	1.19e-18	9606.ENSP00000011653,9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000333919,9606.ENSP00000335062,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000489597,9606.ENSP00000497102	CD4,CD80,ICOS,CD28,CD86,BTLA,PDCD1,CD274,PDCD1LG2,PTPN11,CTLA4
HSA-1280218	Adaptive Immune System	13	758	1.21	7.86e-11	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000333919,9606.ENSP00000335062,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,CD80,ICOS,CD28,CD86,BTLA,PDCD1,CD274,PDCD1LG2,CD8A,PTPN11,CTLA4
HSA-168256	Immune System	15	1979	0.85	2.57e-08	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000264246,9606.ENSP00000264657,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000333919,9606.ENSP00000335062,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,CD80,STAT3,HAVCR2,ICOS,CD28,CD86,BTLA,PDCD1,CD274,PDCD1LG2,CD8A,PTPN11,CTLA4
HSA-389948	PD-1 signaling	5	20	2.37	2.57e-08	9606.ENSP00000011653,9606.ENSP00000335062,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000489597	CD4,PDCD1,CD274,PDCD1LG2,PTPN11
HSA-389513	CTLA4 inhibitory signaling	4	21	2.25	5.41e-06	9606.ENSP00000264246,9606.ENSP00000332049,9606.ENSP00000489597,9606.ENSP00000497102	CD80,CD86,PTPN11,CTLA4
HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	5	78	1.78	8.58e-06	9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000489597	CD80,ICOS,CD28,CD86,PTPN11
HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	5	106	1.65	3.05e-05	9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000489597	CD80,ICOS,CD28,CD86,PTPN11
HSA-389359	CD28 dependent Vav1 pathway	3	12	2.37	0.00011	9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049	CD80,CD28,CD86
HSA-389357	CD28 dependent PI3K/Akt signaling	3	22	2.11	0.00049	9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049	CD80,CD28,CD86
HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	6	430	1.12	0.00088	9606.ENSP00000264246,9606.ENSP00000264657,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000489597	CD80,STAT3,ICOS,CD28,CD86,PTPN11
HSA-449147	Signaling by Interleukins	6	453	1.09	0.0011	9606.ENSP00000011653,9606.ENSP00000264246,9606.ENSP00000264657,9606.ENSP00000312002,9606.ENSP00000332049,9606.ENSP00000489597	CD4,CD80,STAT3,HAVCR2,CD86,PTPN11
HSA-6783783	Interleukin-10 signaling	3	45	1.8	0.0023	9606.ENSP00000264246,9606.ENSP00000264657,9606.ENSP00000332049	CD80,STAT3,CD86
HSA-8877330	RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)	2	10	2.27	0.0090	9606.ENSP00000365380,9606.ENSP00000497102	FOXP3,CTLA4
HSA-9701898	STAT3 nuclear events downstream of ALK signaling	2	10	2.27	0.0090	9606.ENSP00000264657,9606.ENSP00000370989	STAT3,CD274
HSA-1059683	Interleukin-6 signaling	2	11	2.23	0.0091	9606.ENSP00000264657,9606.ENSP00000489597	STAT3,PTPN11
HSA-2586552	Signaling by Leptin	2	11	2.23	0.0091	9606.ENSP00000264657,9606.ENSP00000489597	STAT3,PTPN11
HSA-1643685	Disease	8	1702	0.64	0.0227	9606.ENSP00000011653,9606.ENSP00000264246,9606.ENSP00000264657,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000489597	CD4,CD80,STAT3,ICOS,CD28,CD86,PDCD1,PTPN11
HSA-164938	Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	2	20	1.97	0.0234	9606.ENSP00000011653,9606.ENSP00000324890	CD4,CD28
HSA-9008059	Interleukin-37 signaling	2	21	1.95	0.0246	9606.ENSP00000264657,9606.ENSP00000489597	STAT3,PTPN11
HSA-8854691	Interleukin-20 family signaling	2	25	1.88	0.0315	9606.ENSP00000264657,9606.ENSP00000489597	STAT3,PTPN11
HSA-186763	Downstream signal transduction	2	29	1.81	0.0375	9606.ENSP00000264657,9606.ENSP00000489597	STAT3,PTPN11
HSA-9674555	Signaling by CSF3 (G-CSF)	2	29	1.81	0.0375	9606.ENSP00000264657,9606.ENSP00000489597	STAT3,PTPN11
HSA-9680350	Signaling by CSF1 (M-CSF) in myeloid cells	2	31	1.78	0.0399	9606.ENSP00000264657,9606.ENSP00000489597	STAT3,PTPN11
