#node	identifier	node_degree
BTLA	9606.ENSP00000333919	2
CD274	9606.ENSP00000370989	20
CD28	9606.ENSP00000324890	10
CD4	9606.ENSP00000011653	11
CD80	9606.ENSP00000264246	13
CD86	9606.ENSP00000332049	12
CD8A	9606.ENSP00000386559	11
CTLA4	9606.ENSP00000497102	18
FOXP3	9606.ENSP00000365380	8
HAVCR2	9606.ENSP00000312002	7
ICOS	9606.ENSP00000319476	10
IDO1	9606.ENSP00000430950	2
IGHV3-43D	9606.ENSP00000481152	6
LAG3	9606.ENSP00000203629	10
MTUS1	9606.ENSP00000262102	3
MTUS2	9606.ENSP00000498251	2
PDCD1	9606.ENSP00000335062	13
PDCD1LG2	9606.ENSP00000380855	10
PTPN11	9606.ENSP00000489597	5
STAT3	9606.ENSP00000264657	3
TIGIT	9606.ENSP00000419085	4
