#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0002682	Regulation of immune system process	20	1438	1.12	6.47e-18	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000262102,9606.ENSP00000264246,9606.ENSP00000264657,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000333919,9606.ENSP00000335062,9606.ENSP00000365380,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000419085,9606.ENSP00000430950,9606.ENSP00000481152,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,MTUS1,CD80,STAT3,HAVCR2,ICOS,CD28,CD86,BTLA,PDCD1,FOXP3,CD274,PDCD1LG2,CD8A,TIGIT,IDO1,IGHV3-43D,PTPN11,CTLA4
GO:0050863	Regulation of T cell activation	14	376	1.54	6.67e-16	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000365380,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000419085,9606.ENSP00000430950,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,CD80,HAVCR2,ICOS,CD28,CD86,FOXP3,CD274,PDCD1LG2,TIGIT,IDO1,PTPN11,CTLA4
GO:0051249	Regulation of lymphocyte activation	15	508	1.44	6.67e-16	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000365380,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000419085,9606.ENSP00000430950,9606.ENSP00000481152,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,CD80,HAVCR2,ICOS,CD28,CD86,FOXP3,CD274,PDCD1LG2,TIGIT,IDO1,IGHV3-43D,PTPN11,CTLA4
GO:1903037	Regulation of leukocyte cell-cell adhesion	14	368	1.55	6.67e-16	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000365380,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000419085,9606.ENSP00000430950,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,CD80,HAVCR2,ICOS,CD28,CD86,FOXP3,CD274,PDCD1LG2,TIGIT,IDO1,PTPN11,CTLA4
GO:0002250	Adaptive immune response	13	359	1.53	1.08e-14	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000264657,9606.ENSP00000312002,9606.ENSP00000332049,9606.ENSP00000333919,9606.ENSP00000335062,9606.ENSP00000365380,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000481152,9606.ENSP00000497102	CD4,LAG3,STAT3,HAVCR2,CD86,BTLA,PDCD1,FOXP3,CD274,PDCD1LG2,CD8A,IGHV3-43D,CTLA4
GO:0050868	Negative regulation of T cell activation	10	129	1.86	1.25e-13	9606.ENSP00000203629,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000332049,9606.ENSP00000365380,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000419085,9606.ENSP00000430950,9606.ENSP00000497102	LAG3,CD80,HAVCR2,CD86,FOXP3,CD274,PDCD1LG2,TIGIT,IDO1,CTLA4
GO:0050776	Regulation of immune response	15	844	1.22	2.28e-13	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000333919,9606.ENSP00000335062,9606.ENSP00000365380,9606.ENSP00000370989,9606.ENSP00000386559,9606.ENSP00000430950,9606.ENSP00000481152,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,CD80,HAVCR2,CD28,CD86,BTLA,PDCD1,FOXP3,CD274,CD8A,IDO1,IGHV3-43D,PTPN11,CTLA4
GO:0002684	Positive regulation of immune system process	15	874	1.21	3.17e-13	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000365380,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000430950,9606.ENSP00000481152,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,CD80,HAVCR2,ICOS,CD28,CD86,FOXP3,CD274,PDCD1LG2,CD8A,IDO1,IGHV3-43D,PTPN11,CTLA4
GO:0006955	Immune response	16	1321	1.06	2.83e-12	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000264246,9606.ENSP00000264657,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000333919,9606.ENSP00000335062,9606.ENSP00000365380,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000481152,9606.ENSP00000497102	CD4,LAG3,CD80,STAT3,HAVCR2,ICOS,CD28,CD86,BTLA,PDCD1,FOXP3,CD274,PDCD1LG2,CD8A,IGHV3-43D,CTLA4
GO:0007162	Negative regulation of cell adhesion	11	289	1.55	2.83e-12	9606.ENSP00000203629,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000332049,9606.ENSP00000365380,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000419085,9606.ENSP00000430950,9606.ENSP00000489597,9606.ENSP00000497102	LAG3,CD80,HAVCR2,CD86,FOXP3,CD274,PDCD1LG2,TIGIT,IDO1,PTPN11,CTLA4
