"activityRatio","canonicalName","description","EdgeBetweenness","enabled","increment","interaction","name","scenario","selected","shared interaction","shared name"
"0.25",,,"2.2857142857142856","true",,"interacts with","CD274 (interacts with) ICOS",,"false","interacts with","CD274 (interacts with) ICOS"
"0.25",,,"2.0","true",,"interacts with","CD274 (interacts with) CTLA4",,"false","interacts with","CD274 (interacts with) CTLA4"
"0.25",,,"2.0","true",,"interacts with","CD4 (interacts with) CD80",,"false","interacts with","CD4 (interacts with) CD80"
"0.25",,,"2.857142857142857","true",,"interacts with","CD8A (interacts with) LAG3",,"false","interacts with","CD8A (interacts with) LAG3"
"0.25",,,"2.857142857142857","true",,"interacts with","CD86 (interacts with) LAG3",,"false","interacts with","CD86 (interacts with) LAG3"
"0.25",,,"2.0","true",,"interacts with","CD274 (interacts with) CD8A",,"false","interacts with","CD274 (interacts with) CD8A"
"0.25",,,"2.2857142857142856","true",,"interacts with","CD8A (interacts with) ICOS",,"false","interacts with","CD8A (interacts with) ICOS"
"0.25",,,"2.0","true",,"interacts with","CD4 (interacts with) CD86",,"false","interacts with","CD4 (interacts with) CD86"
"0.25",,,"2.2857142857142856","true",,"interacts with","CD86 (interacts with) ICOS",,"false","interacts with","CD86 (interacts with) ICOS"
"0.25",,,"2.2857142857142856","true",,"interacts with","CD28 (interacts with) CD4",,"false","interacts with","CD28 (interacts with) CD4"
"0.25",,,"2.0","true",,"interacts with","CD274 (interacts with) PDCD1",,"false","interacts with","CD274 (interacts with) PDCD1"
"0.25",,,"2.857142857142857","true",,"interacts with","CD80 (interacts with) LAG3",,"false","interacts with","CD80 (interacts with) LAG3"
"0.25",,,"2.0","true",,"interacts with","CD8A (interacts with) CTLA4",,"false","interacts with","CD8A (interacts with) CTLA4"
"0.25",,,"2.2857142857142856","true",,"interacts with","CD4 (interacts with) PDCD1LG2",,"false","interacts with","CD4 (interacts with) PDCD1LG2"
"0.25",,,"2.0","true",,"interacts with","CD86 (interacts with) CTLA4",,"false","interacts with","CD86 (interacts with) CTLA4"
"0.25",,,"2.2857142857142856","true",,"interacts with","CD80 (interacts with) ICOS",,"false","interacts with","CD80 (interacts with) ICOS"
"0.25",,,"2.0","true",,"interacts with","CD28 (interacts with) ICOS",,"false","interacts with","CD28 (interacts with) ICOS"
"0.25",,,"2.2857142857142856","true",,"interacts with","CTLA4 (interacts with) PDCD1LG2",,"false","interacts with","CTLA4 (interacts with) PDCD1LG2"
"0.25",,,"2.0","true",,"interacts with","CD86 (interacts with) CD8A",,"false","interacts with","CD86 (interacts with) CD8A"
"0.25",,,"2.2857142857142856","true",,"interacts with","CD28 (interacts with) CTLA4",,"false","interacts with","CD28 (interacts with) CTLA4"
"0.25",,,"2.0","true",,"interacts with","CD8A (interacts with) PDCD1",,"false","interacts with","CD8A (interacts with) PDCD1"
"0.25",,,"2.0","true",,"interacts with","CD80 (interacts with) CTLA4",,"false","interacts with","CD80 (interacts with) CTLA4"
"0.25",,,"2.0","true",,"interacts with","CD80 (interacts with) CD8A",,"false","interacts with","CD80 (interacts with) CD8A"
"0.25",,,"2.2857142857142856","true",,"interacts with","CD28 (interacts with) CD8A",,"false","interacts with","CD28 (interacts with) CD8A"
"0.25",,,"2.0","true",,"interacts with","CD86 (interacts with) PDCD1",,"false","interacts with","CD86 (interacts with) PDCD1"
"0.25",,,"2.2857142857142856","true",,"interacts with","ICOS (interacts with) PDCD1",,"false","interacts with","ICOS (interacts with) PDCD1"
"0.25",,,"2.2857142857142856","true",,"interacts with","CD28 (interacts with) PDCD1",,"false","interacts with","CD28 (interacts with) PDCD1"
"0.25",,,"2.0","true",,"interacts with","CD274 (interacts with) CD80",,"false","interacts with","CD274 (interacts with) CD80"
"0.25",,,"2.0","true",,"interacts with","CD80 (interacts with) PDCD1",,"false","interacts with","CD80 (interacts with) PDCD1"
"0.25",,,"2.857142857142857","true",,"interacts with","CD274 (interacts with) LAG3",,"false","interacts with","CD274 (interacts with) LAG3"
"0.25",,,"2.2857142857142856","true",,"interacts with","PDCD1 (interacts with) PDCD1LG2",,"false","interacts with","PDCD1 (interacts with) PDCD1LG2"
"0.25",,,"2.2857142857142856","true",,"interacts with","CD274 (interacts with) CD28",,"false","interacts with","CD274 (interacts with) CD28"
"0.25",,,"2.857142857142857","true",,"interacts with","CD4 (interacts with) LAG3",,"false","interacts with","CD4 (interacts with) LAG3"
"0.25",,,"2.857142857142857","true",,"interacts with","LAG3 (interacts with) PDCD1",,"false","interacts with","LAG3 (interacts with) PDCD1"
"0.25",,,"2.857142857142857","true",,"interacts with","CTLA4 (interacts with) LAG3",,"false","interacts with","CTLA4 (interacts with) LAG3"
"0.25",,,"2.2857142857142856","true",,"interacts with","CD4 (interacts with) ICOS",,"false","interacts with","CD4 (interacts with) ICOS"
"0.25",,,"2.0","true",,"interacts with","CD274 (interacts with) CD86",,"false","interacts with","CD274 (interacts with) CD86"
"0.25",,,"2.0","true",,"interacts with","CD4 (interacts with) CTLA4",,"false","interacts with","CD4 (interacts with) CTLA4"
"0.25",,,"2.2857142857142856","true",,"interacts with","CD274 (interacts with) PDCD1LG2",,"false","interacts with","CD274 (interacts with) PDCD1LG2"
"0.25",,,"2.2857142857142856","true",,"interacts with","CTLA4 (interacts with) ICOS",,"false","interacts with","CTLA4 (interacts with) ICOS"
"0.25",,,"2.0","true",,"interacts with","CD4 (interacts with) CD8A",,"false","interacts with","CD4 (interacts with) CD8A"
"0.25",,,"2.2857142857142856","true",,"interacts with","CD28 (interacts with) CD80",,"false","interacts with","CD28 (interacts with) CD80"
"0.25",,,"2.2857142857142856","true",,"interacts with","CD8A (interacts with) PDCD1LG2",,"false","interacts with","CD8A (interacts with) PDCD1LG2"
"0.25",,,"2.0","true",,"interacts with","CD4 (interacts with) PDCD1",,"false","interacts with","CD4 (interacts with) PDCD1"
"0.25",,,"2.2857142857142856","true",,"interacts with","CD28 (interacts with) CD86",,"false","interacts with","CD28 (interacts with) CD86"
"0.25",,,"2.2857142857142856","true",,"interacts with","CD86 (interacts with) PDCD1LG2",,"false","interacts with","CD86 (interacts with) PDCD1LG2"
"0.25",,,"2.0","true",,"interacts with","ICOS (interacts with) PDCD1LG2",,"false","interacts with","ICOS (interacts with) PDCD1LG2"
"0.25",,,"2.0","true",,"interacts with","CD80 (interacts with) CD86",,"false","interacts with","CD80 (interacts with) CD86"
"0.25",,,"2.0","true",,"interacts with","CTLA4 (interacts with) PDCD1",,"false","interacts with","CTLA4 (interacts with) PDCD1"
"0.25",,,"2.2857142857142856","true",,"interacts with","CD80 (interacts with) PDCD1LG2",,"false","interacts with","CD80 (interacts with) PDCD1LG2"
"0.25",,,"2.0","true",,"interacts with","CD274 (interacts with) CD4",,"false","interacts with","CD274 (interacts with) CD4"
"0.25",,,"2.0","true",,"interacts with","CD28 (interacts with) PDCD1LG2",,"false","interacts with","CD28 (interacts with) PDCD1LG2"
