#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04514	Cell adhesion molecules	10	138	1.76	4.15e-13	9606.ENSP00000011653,9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000497102	CD4,CD80,ICOS,CD28,CD86,PDCD1,CD274,PDCD1LG2,CD8A,CTLA4
hsa04660	T cell receptor signaling pathway	8	100	1.8	1.04e-10	9606.ENSP00000011653,9606.ENSP00000229135,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000335062,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000497102	CD4,IFNG,ICOS,CD28,PDCD1,CD8A,PTPN6,CTLA4
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	7	87	1.8	2.23e-09	9606.ENSP00000011653,9606.ENSP00000229135,9606.ENSP00000324890,9606.ENSP00000335062,9606.ENSP00000370989,9606.ENSP00000391592,9606.ENSP00000489597	CD4,IFNG,CD28,PDCD1,CD274,PTPN6,PTPN11
hsa05323	Rheumatoid arthritis	6	83	1.76	9.88e-08	9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000478289,9606.ENSP00000497102	IFNG,CD80,CD28,CD86,LOC102723407,CTLA4
hsa05330	Allograft rejection	5	34	2.06	9.88e-08	9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000478289	IFNG,CD80,CD28,CD86,LOC102723407
hsa04672	Intestinal immune network for IgA production	5	43	1.96	1.98e-07	9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000478289	CD80,ICOS,CD28,CD86,LOC102723407
hsa05320	Autoimmune thyroid disease	5	48	1.91	2.83e-07	9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000478289,9606.ENSP00000497102	CD80,CD28,CD86,LOC102723407,CTLA4
hsa05322	Systemic lupus erythematosus	5	94	1.62	5.93e-06	9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000478289	IFNG,CD80,CD28,CD86,LOC102723407
hsa04940	Type I diabetes mellitus	4	38	1.92	6.64e-06	9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049	IFNG,CD80,CD28,CD86
hsa05332	Graft-versus-host disease	4	36	1.94	6.64e-06	9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049	IFNG,CD80,CD28,CD86
hsa05340	Primary immunodeficiency	4	37	1.93	6.64e-06	9606.ENSP00000011653,9606.ENSP00000319476,9606.ENSP00000386559,9606.ENSP00000478289	CD4,ICOS,CD8A,LOC102723407
hsa05416	Viral myocarditis	4	55	1.76	2.44e-05	9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000478289	CD80,CD28,CD86,LOC102723407
hsa04650	Natural killer cell mediated cytotoxicity	4	120	1.42	0.00044	9606.ENSP00000229135,9606.ENSP00000391592,9606.ENSP00000478289,9606.ENSP00000489597	IFNG,PTPN6,LOC102723407,PTPN11
hsa04612	Antigen processing and presentation	3	64	1.57	0.0020	9606.ENSP00000011653,9606.ENSP00000229135,9606.ENSP00000386559	CD4,IFNG,CD8A
hsa05140	Leishmaniasis	3	69	1.53	0.0023	9606.ENSP00000229135,9606.ENSP00000391592,9606.ENSP00000478289	IFNG,PTPN6,LOC102723407
hsa04640	Hematopoietic cell lineage	3	90	1.42	0.0045	9606.ENSP00000011653,9606.ENSP00000386559,9606.ENSP00000478289	CD4,CD8A,LOC102723407
hsa05135	Yersinia infection	3	124	1.28	0.0107	9606.ENSP00000011653,9606.ENSP00000386559,9606.ENSP00000478289	CD4,CD8A,LOC102723407
hsa04630	JAK-STAT signaling pathway	3	158	1.17	0.0197	9606.ENSP00000229135,9606.ENSP00000391592,9606.ENSP00000489597	IFNG,PTPN6,PTPN11
hsa05143	African trypanosomiasis	2	36	1.64	0.0197	9606.ENSP00000229135,9606.ENSP00000478289	IFNG,LOC102723407
hsa05130	Pathogenic Escherichia coli infection	3	187	1.1	0.0291	9606.ENSP00000391592,9606.ENSP00000478289,9606.ENSP00000489597	PTPN6,LOC102723407,PTPN11
