#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-388841	Costimulation by the CD28 family	11	66	2.12	1.48e-17	9606.ENSP00000011653,9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000391592,9606.ENSP00000489597,9606.ENSP00000497102	CD4,CD80,ICOS,CD28,CD86,PDCD1,CD274,PDCD1LG2,PTPN6,PTPN11,CTLA4
HSA-1280218	Adaptive Immune System	15	758	1.19	1.79e-12	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000452662,9606.ENSP00000479032,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,CD80,ICOS,CD28,CD86,PDCD1,CD274,PDCD1LG2,CD8A,PTPN6,IGKV2D-28,IGKV1-33,PTPN11,CTLA4
HSA-389948	PD-1 signaling	6	20	2.37	3.73e-10	9606.ENSP00000011653,9606.ENSP00000335062,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000391592,9606.ENSP00000489597	CD4,PDCD1,CD274,PDCD1LG2,PTPN6,PTPN11
HSA-168256	Immune System	17	1979	0.83	3.20e-09	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000452662,9606.ENSP00000479032,9606.ENSP00000489597,9606.ENSP00000497102	CD4,LAG3,IFNG,CD80,ICOS,CD28,CD86,PDCD1,CD274,LGALS9,PDCD1LG2,CD8A,PTPN6,IGKV2D-28,IGKV1-33,PTPN11,CTLA4
HSA-389513	CTLA4 inhibitory signaling	4	21	2.18	1.14e-05	9606.ENSP00000264246,9606.ENSP00000332049,9606.ENSP00000489597,9606.ENSP00000497102	CD80,CD86,PTPN11,CTLA4
HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	5	78	1.7	2.21e-05	9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000489597	CD80,ICOS,CD28,CD86,PTPN11
HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	5	106	1.57	7.80e-05	9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000489597	CD80,ICOS,CD28,CD86,PTPN11
HSA-5690714	CD22 mediated BCR regulation	3	9	2.42	8.97e-05	9606.ENSP00000391592,9606.ENSP00000452662,9606.ENSP00000479032	PTPN6,IGKV2D-28,IGKV1-33
HSA-389359	CD28 dependent Vav1 pathway	3	12	2.29	0.00017	9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049	CD80,CD28,CD86
HSA-449147	Signaling by Interleukins	7	453	1.09	0.00023	9606.ENSP00000011653,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000332049,9606.ENSP00000378856,9606.ENSP00000391592,9606.ENSP00000489597	CD4,IFNG,CD80,CD86,LGALS9,PTPN6,PTPN11
HSA-877312	Regulation of IFNG signaling	3	14	2.23	0.00023	9606.ENSP00000229135,9606.ENSP00000391592,9606.ENSP00000489597	IFNG,PTPN6,PTPN11
HSA-389357	CD28 dependent PI3K/Akt signaling	3	22	2.03	0.00066	9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049	CD80,CD28,CD86
