#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BTLA	CD274	9606.ENSP00000333919	9606.ENSP00000370989	0	0	0	0	0.093	0	0	0.940	0.943
BTLA	PTPN11	9606.ENSP00000333919	9606.ENSP00000489597	0	0	0	0	0.110	0.516	0.500	0.986	0.996
CD274	CD4	9606.ENSP00000370989	9606.ENSP00000011653	0	0	0	0	0	0	0.500	0.883	0.938
CD274	LAG3	9606.ENSP00000370989	9606.ENSP00000203629	0	0	0	0	0.083	0	0	0.975	0.976
CD274	MTUS1	9606.ENSP00000370989	9606.ENSP00000262102	0	0	0	0	0	0	0	0.909	0.909
CD274	CD80	9606.ENSP00000370989	9606.ENSP00000264246	0	0	0	0.590	0.215	0.982	0.900	0.989	0.999
CD274	STAT3	9606.ENSP00000370989	9606.ENSP00000264657	0	0	0	0	0.124	0	0.750	0.967	0.992
CD274	HAVCR2	9606.ENSP00000370989	9606.ENSP00000312002	0	0	0	0	0.049	0	0	0.998	0.998
CD274	ICOS	9606.ENSP00000370989	9606.ENSP00000319476	0	0	0	0	0.089	0	0	0.995	0.995
CD274	CD28	9606.ENSP00000370989	9606.ENSP00000324890	0	0	0	0	0.055	0	0	0.997	0.997
CD274	CD86	9606.ENSP00000370989	9606.ENSP00000332049	0	0	0	0.590	0.147	0	0	0.969	0.972
CD274	PDCD1	9606.ENSP00000370989	9606.ENSP00000335062	0	0	0	0	0.111	0.983	0.900	0.999	0.999
CD274	FOXP3	9606.ENSP00000370989	9606.ENSP00000365380	0	0	0	0	0.042	0	0	0.912	0.912
CD274	IDO1	9606.ENSP00000370989	9606.ENSP00000430950	0	0	0	0	0.222	0	0	0.880	0.902
CD274	IGHV3-43D	9606.ENSP00000370989	9606.ENSP00000481152	0	0	0	0	0.060	0.901	0	0	0.903
CD274	MTUS2	9606.ENSP00000370989	9606.ENSP00000498251	0	0	0	0	0	0	0	0.909	0.909
CD274	CD8A	9606.ENSP00000370989	9606.ENSP00000386559	0	0	0	0	0.076	0	0	0.937	0.939
CD274	PTPN11	9606.ENSP00000370989	9606.ENSP00000489597	0	0	0	0	0.099	0.292	0.500	0.863	0.950
CD274	TIGIT	9606.ENSP00000370989	9606.ENSP00000419085	0	0	0	0	0.074	0	0	0.973	0.973
CD274	PDCD1LG2	9606.ENSP00000370989	9606.ENSP00000380855	0	0	0	0.817	0.449	0.600	0.500	0.970	0.996
CD274	CTLA4	9606.ENSP00000370989	9606.ENSP00000497102	0	0	0	0	0.091	0.405	0	0.999	0.999
CD28	CD4	9606.ENSP00000324890	9606.ENSP00000011653	0	0	0	0	0.137	0.091	0	0.966	0.971
CD28	CD80	9606.ENSP00000324890	9606.ENSP00000264246	0	0	0	0	0.096	0.609	0.900	0.999	0.999
CD28	ICOS	9606.ENSP00000324890	9606.ENSP00000319476	0	0	0	0.630	0.564	0	0	0.954	0.979
CD28	FOXP3	9606.ENSP00000324890	9606.ENSP00000365380	0	0	0	0	0.085	0.075	0	0.929	0.935
CD28	PDCD1	9606.ENSP00000324890	9606.ENSP00000335062	0	0	0	0	0.143	0	0	0.928	0.936
CD28	CD8A	9606.ENSP00000324890	9606.ENSP00000386559	0	0	0	0	0.145	0	0	0.956	0.961
CD28	PDCD1LG2	9606.ENSP00000324890	9606.ENSP00000380855	0	0	0	0	0.085	0	0	0.975	0.976
CD28	CTLA4	9606.ENSP00000324890	9606.ENSP00000497102	0	0	0.110	0.683	0.325	0	0	0.987	0.991
CD28	CD86	9606.ENSP00000324890	9606.ENSP00000332049	0	0	0	0	0.130	0.607	0.900	0.999	0.999
CD4	LAG3	9606.ENSP00000011653	9606.ENSP00000203629	0	0	0.228	0	0.064	0	0	0.890	0.914
CD4	ICOS	9606.ENSP00000011653	9606.ENSP00000319476	0	0	0	0	0.255	0	0	0.909	0.929
CD4	PDCD1LG2	9606.ENSP00000011653	9606.ENSP00000380855	0	0	0	0	0.042	0	0.500	0.896	0.945
CD4	CTLA4	9606.ENSP00000011653	9606.ENSP00000497102	0	0	0	0	0.137	0.091	0	0.948	0.955
CD4	CD80	9606.ENSP00000011653	9606.ENSP00000264246	0	0	0	0	0.147	0.126	0	0.949	0.958
CD4	CD86	9606.ENSP00000011653	9606.ENSP00000332049	0	0	0	0	0.180	0	0	0.951	0.958
CD4	PDCD1	9606.ENSP00000011653	9606.ENSP00000335062	0	0	0	0	0.086	0	0.500	0.920	0.960
CD4	FOXP3	9606.ENSP00000011653	9606.ENSP00000365380	0	0	0	0	0.072	0.047	0	0.979	0.979
CD4	CD8A	9606.ENSP00000011653	9606.ENSP00000386559	0	0	0	0	0.130	0.098	0.900	0.993	0.999
CD80	LAG3	9606.ENSP00000264246	9606.ENSP00000203629	0	0	0	0	0.097	0.126	0	0.989	0.990
CD80	TIGIT	9606.ENSP00000264246	9606.ENSP00000419085	0	0	0	0	0.086	0	0	0.901	0.906
CD80	FOXP3	9606.ENSP00000264246	9606.ENSP00000365380	0	0	0	0	0.048	0	0	0.908	0.909
CD80	CD8A	9606.ENSP00000264246	9606.ENSP00000386559	0	0	0	0	0.055	0	0	0.959	0.959
CD80	HAVCR2	9606.ENSP00000264246	9606.ENSP00000312002	0	0	0	0	0.102	0.126	0	0.968	0.972
CD80	PDCD1LG2	9606.ENSP00000264246	9606.ENSP00000380855	0	0	0	0	0.146	0.060	0	0.993	0.993
CD80	ICOS	9606.ENSP00000264246	9606.ENSP00000319476	0	0	0	0	0.150	0	0	0.997	0.997
CD80	PDCD1	9606.ENSP00000264246	9606.ENSP00000335062	0	0	0	0	0.113	0.405	0	0.997	0.998
CD80	CTLA4	9606.ENSP00000264246	9606.ENSP00000497102	0	0	0	0	0.123	0.977	0.900	0.999	0.999
CD80	CD86	9606.ENSP00000264246	9606.ENSP00000332049	0	0	0	0.618	0.262	0.393	0.900	0.989	0.999
CD86	LAG3	9606.ENSP00000332049	9606.ENSP00000203629	0	0	0	0	0.067	0	0	0.979	0.979
CD86	HAVCR2	9606.ENSP00000332049	9606.ENSP00000312002	0	0	0	0	0.201	0	0	0.965	0.971
CD86	ICOS	9606.ENSP00000332049	9606.ENSP00000319476	0	0	0	0	0.183	0	0	0.996	0.996
CD86	FOXP3	9606.ENSP00000332049	9606.ENSP00000365380	0	0	0	0	0.059	0	0	0.901	0.903
CD86	CD8A	9606.ENSP00000332049	9606.ENSP00000386559	0	0	0	0	0.164	0	0	0.923	0.933
CD86	PDCD1LG2	9606.ENSP00000332049	9606.ENSP00000380855	0	0	0	0	0.124	0	0	0.970	0.972
CD86	PDCD1	9606.ENSP00000332049	9606.ENSP00000335062	0	0	0	0	0.121	0	0	0.996	0.996
CD86	CTLA4	9606.ENSP00000332049	9606.ENSP00000497102	0	0	0	0	0.124	0.971	0.900	0.999	0.999
CD8A	LAG3	9606.ENSP00000386559	9606.ENSP00000203629	0	0	0	0	0.441	0.064	0	0.907	0.947
CD8A	ICOS	9606.ENSP00000386559	9606.ENSP00000319476	0	0	0	0	0.265	0	0	0.874	0.903
CD8A	PDCD1	9606.ENSP00000386559	9606.ENSP00000335062	0	0	0	0	0.174	0	0	0.929	0.938
CD8A	FOXP3	9606.ENSP00000386559	9606.ENSP00000365380	0	0	0	0	0.094	0	0	0.946	0.948
