#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-168256	Immune System	24	1979	0.89	3.75e-15	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000264832,9606.ENSP00000266557,9606.ENSP00000312002,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000358501,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000478699,9606.ENSP00000497102,9606.ENSP00000497910	CD4,LAG3,IL2,IFNG,CD80,ICAM1,CD27,HAVCR2,ICOS,CD28,CD86,PDCD1,CD58,CD40LG,CD40,TNFRSF4,CD274,PDCD1LG2,CD8A,TNF,IL10,TNFRSF9,CTLA4,B2M
HSA-388841	Costimulation by the CD28 family	9	66	1.94	2.17e-12	9606.ENSP00000011653,9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000497102	CD4,CD80,ICOS,CD28,CD86,PDCD1,CD274,PDCD1LG2,CTLA4
HSA-1280215	Cytokine Signaling in Immune system	15	706	1.13	3.18e-11	9606.ENSP00000011653,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000264832,9606.ENSP00000266557,9606.ENSP00000312002,9606.ENSP00000332049,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000368538,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000478699,9606.ENSP00000497910	CD4,IL2,IFNG,CD80,ICAM1,CD27,HAVCR2,CD86,CD40LG,CD40,TNFRSF4,TNF,IL10,TNFRSF9,B2M
HSA-1280218	Adaptive Immune System	15	758	1.1	6.58e-11	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000264246,9606.ENSP00000264832,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000497102,9606.ENSP00000497910	CD4,LAG3,CD80,ICAM1,ICOS,CD28,CD86,PDCD1,CD40LG,CD40,CD274,PDCD1LG2,CD8A,CTLA4,B2M
HSA-8877330	RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)	4	10	2.41	2.25e-06	9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000365380,9606.ENSP00000497102	IL2,IFNG,FOXP3,CTLA4
HSA-5668541	TNFR2 non-canonical NF-kB pathway	6	99	1.59	4.94e-06	9606.ENSP00000266557,9606.ENSP00000359663,9606.ENSP00000361359,9606.ENSP00000368538,9606.ENSP00000398698,9606.ENSP00000478699	CD27,CD40LG,CD40,TNFRSF4,TNF,TNFRSF9
HSA-6783783	Interleukin-10 signaling	5	45	1.85	4.94e-06	9606.ENSP00000264246,9606.ENSP00000264832,9606.ENSP00000332049,9606.ENSP00000398698,9606.ENSP00000412237	CD80,ICAM1,CD86,TNF,IL10
HSA-449147	Signaling by Interleukins	9	453	1.1	7.13e-06	9606.ENSP00000011653,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264246,9606.ENSP00000264832,9606.ENSP00000312002,9606.ENSP00000332049,9606.ENSP00000398698,9606.ENSP00000412237	CD4,IL2,IFNG,CD80,ICAM1,HAVCR2,CD86,TNF,IL10
HSA-389948	PD-1 signaling	4	20	2.1	1.31e-05	9606.ENSP00000011653,9606.ENSP00000335062,9606.ENSP00000370989,9606.ENSP00000380855	CD4,PDCD1,CD274,PDCD1LG2
HSA-389359	CD28 dependent Vav1 pathway	3	12	2.2	0.00036	9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049	CD80,CD28,CD86
