#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AP2M1	CTLA4	9606.ENSP00000403362	9606.ENSP00000497102	0	0	0	0	0	0.785	0	0.556	0.900
CD274	CD4	9606.ENSP00000370989	9606.ENSP00000011653	0	0	0	0	0	0	0.500	0.883	0.938
CD274	LAG3	9606.ENSP00000370989	9606.ENSP00000203629	0	0	0	0	0.083	0	0	0.975	0.976
CD274	MTUS1	9606.ENSP00000370989	9606.ENSP00000262102	0	0	0	0	0	0	0	0.909	0.909
CD274	CD80	9606.ENSP00000370989	9606.ENSP00000264246	0	0	0	0.590	0.215	0.982	0.900	0.989	0.999
CD274	HAVCR2	9606.ENSP00000370989	9606.ENSP00000312002	0	0	0	0	0.049	0	0	0.998	0.998
CD274	ICOS	9606.ENSP00000370989	9606.ENSP00000319476	0	0	0	0	0.089	0	0	0.995	0.995
CD274	CD28	9606.ENSP00000370989	9606.ENSP00000324890	0	0	0	0	0.055	0	0	0.997	0.997
CD274	CD86	9606.ENSP00000370989	9606.ENSP00000332049	0	0	0	0.590	0.147	0	0	0.969	0.972
CD274	PDCD1	9606.ENSP00000370989	9606.ENSP00000335062	0	0	0	0	0.111	0.983	0.900	0.999	0.999
CD274	FOXP3	9606.ENSP00000370989	9606.ENSP00000365380	0	0	0	0	0.042	0	0	0.912	0.912
CD274	IDO1	9606.ENSP00000370989	9606.ENSP00000430950	0	0	0	0	0.222	0	0	0.880	0.902
CD274	IGHV3-43D	9606.ENSP00000370989	9606.ENSP00000481152	0	0	0	0	0.060	0.901	0	0	0.903
CD274	MTUS2	9606.ENSP00000370989	9606.ENSP00000498251	0	0	0	0	0	0	0	0.909	0.909
CD274	CD8A	9606.ENSP00000370989	9606.ENSP00000386559	0	0	0	0	0.076	0	0	0.937	0.939
CD274	PTPN11	9606.ENSP00000370989	9606.ENSP00000489597	0	0	0	0	0.099	0.292	0.500	0.863	0.950
CD274	TIGIT	9606.ENSP00000370989	9606.ENSP00000419085	0	0	0	0	0.074	0	0	0.973	0.973
CD274	PDCD1LG2	9606.ENSP00000370989	9606.ENSP00000380855	0	0	0	0.817	0.449	0.600	0.500	0.970	0.996
CD274	CTLA4	9606.ENSP00000370989	9606.ENSP00000497102	0	0	0	0	0.091	0.405	0	0.999	0.999
CD276	CD80	9606.ENSP00000320084	9606.ENSP00000264246	0	0	0	0.596	0.042	0.098	0	0.987	0.987
CD276	CTLA4	9606.ENSP00000320084	9606.ENSP00000497102	0	0	0	0	0	0	0	0.985	0.985
CD276	CD86	9606.ENSP00000320084	9606.ENSP00000332049	0	0	0	0.591	0	0	0	0.988	0.988
CD276	CD28	9606.ENSP00000320084	9606.ENSP00000324890	0	0	0	0	0	0	0	0.998	0.998
CD28	CD4	9606.ENSP00000324890	9606.ENSP00000011653	0	0	0	0	0.137	0.091	0	0.966	0.971
CD28	IL2	9606.ENSP00000324890	9606.ENSP00000226730	0	0	0	0	0.107	0	0	0.962	0.965
CD28	IFNG	9606.ENSP00000324890	9606.ENSP00000229135	0	0	0	0	0.123	0	0	0.950	0.954
CD28	CD80	9606.ENSP00000324890	9606.ENSP00000264246	0	0	0	0	0.096	0.609	0.900	0.999	0.999
CD28	ICOS	9606.ENSP00000324890	9606.ENSP00000319476	0	0	0	0.630	0.564	0	0	0.954	0.979
CD28	IL10	9606.ENSP00000324890	9606.ENSP00000412237	0	0	0	0	0.098	0	0	0.917	0.922
CD28	TNFRSF4	9606.ENSP00000324890	9606.ENSP00000368538	0	0	0	0	0.167	0	0	0.923	0.934
CD28	FOXP3	9606.ENSP00000324890	9606.ENSP00000365380	0	0	0	0	0.085	0.075	0	0.929	0.935
CD28	PDCD1	9606.ENSP00000324890	9606.ENSP00000335062	0	0	0	0	0.143	0	0	0.928	0.936
CD28	CD8A	9606.ENSP00000324890	9606.ENSP00000386559	0	0	0	0	0.145	0	0	0.956	0.961
CD28	PDCD1LG2	9606.ENSP00000324890	9606.ENSP00000380855	0	0	0	0	0.085	0	0	0.975	0.976
CD28	CTLA4	9606.ENSP00000324890	9606.ENSP00000497102	0	0	0.110	0.683	0.325	0	0	0.987	0.991
CD28	CD40	9606.ENSP00000324890	9606.ENSP00000361359	0	0	0	0	0.058	0	0	0.997	0.997
