#clustering method	cluster number	cluster color	gene count	protein name	protein identifier	protein description
kmeans	1	Red	10	BTLA	9606.ENSP00000333919	B- and T-lymphocyte attenuator; Inhibitory receptor on lymphocytes that negatively regulates antigen receptor signaling via PTPN6/SHP-1 and PTPN11/SHP-2. May interact in cis (on the same cell) or in trans (on other cells) with TNFRSF14. In cis interactions, appears to play an immune regulatory role inhibiting in trans interactions in naive T cells to maintain a resting state. In trans interactions, can predominate during adaptive immune response to provide survival signals to effector T cells.
kmeans	1	Red	10	CD274	9606.ENSP00000370989	Programmed cell death 1 ligand 1; Plays a critical role in induction and maintenance of immune tolerance to self. As a ligand for the inhibitory receptor PDCD1/PD-1, modulates the activation threshold of T-cells and limits T-cell effector response. Through a yet unknown activating receptor, may costimulate T-cell subsets that predominantly produce interleukin-10 (IL10).
kmeans	1	Red	10	CD28	9606.ENSP00000324890	T-cell-specific surface glycoprotein CD28; Involved in T-cell activation, the induction of cell proliferation and cytokine production and promotion of T-cell survival. Enhances the production of IL4 and IL10 in T-cells in conjunction with TCR/CD3 ligation and CD40L costimulation. Isoform 3 enhances CD40L-mediated activation of NF-kappa-B and kinases MAPK8 and PAK2 in T-cells.
kmeans	1	Red	10	CD80	9606.ENSP00000264246	T-lymphocyte activation antigen CD80; Involved in the costimulatory signal essential for T- lymphocyte activation. T-cell proliferation and cytokine production is induced by the binding of CD28, binding to CTLA-4 has opposite effects and inhibits T-cell activation.
kmeans	1	Red	10	HAVCR2	9606.ENSP00000312002	Hepatitis A virus cellular receptor 2; Cell surface receptor implicated in modulating innate and adaptive immune responses. Generally accepted to have an inhibiting function. Reports on stimulating functions suggest that the activity may be influenced by the cellular context and/or the respective ligand. Regulates macrophage activation. Inhibits T-helper type 1 lymphocyte (Th1)-mediated auto- and alloimmune responses and promotes immunological tolerance. In CD8+ cells attenuates TCR-induced signaling, specifically by blocking NF-kappaB and NFAT promoter activities resulting in the loss [...] 
kmeans	1	Red	10	IGHV3-43D	9606.ENSP00000481152	Immunoglobulin heavy variable 3-43D; V region of the variable domain of immunoglobulin heavy chains that participates in the antigen recognition. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins- secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, whi [...] 
kmeans	1	Red	10	LAG3	9606.ENSP00000203629	Secreted lymphocyte activation gene 3 protein; Lymphocyte activation gene 3 protein: Inhibitory receptor on antigen activated T-cells. Delivers inhibitory signals upon binding to ligands, such as FGL1 (By similarity). FGL1 constitutes a major ligand of LAG3 and is responsible for LAG3 T-cell inhibitory function (By similarity). Following TCR engagement, LAG3 associates with CD3-TCR in the immunological synapse and directly inhibits T-cell activation (By similarity). May inhibit antigen-specific T-cell activation in synergy with PDCD1/PD-1, possibly by acting as a coreceptor for PDCD1/P [...] 
kmeans	1	Red	10	PDCD1	9606.ENSP00000335062	Programmed cell death protein 1; Inhibitory receptor on antigen activated T-cells that plays a critical role in induction and maintenance of immune tolerance to self. Delivers inhibitory signals upon binding to ligands CD274/PDCD1L1 and CD273/PDCD1LG2. Following T-cell receptor (TCR) engagement, PDCD1 associates with CD3-TCR in the immunological synapse and directly inhibits T-cell activation (By similarity). Suppresses T-cell activation through the recruitment of PTPN11/SHP-2: following ligand-binding, PDCD1 is phosphorylated within the ITSM motif, leading to the recruitment of the pr [...] 
kmeans	1	Red	10	STAT3	9606.ENSP00000264657	Signal transducer and activator of transcription 3; Signal transducer and transcription activator that mediates cellular responses to interleukins, KITLG/SCF, LEP and other growth factors. Once activated, recruits coactivators, such as NCOA1 or MED1, to the promoter region of the target gene. May mediate cellular responses to activated FGFR1, FGFR2, FGFR3 and FGFR4. Binds to the interleukin-6 (IL-6)-responsive elements identified in the promoters of various acute-phase protein genes. Activated by IL31 through IL31RA. Acts as a regulator of inflammatory response by regulating differenti [...] 
kmeans	1	Red	10	TIGIT	9606.ENSP00000419085	T-cell immunoreceptor with Ig and ITIM domains; Binds with high affinity to the poliovirus receptor (PVR) which causes increased secretion of IL10 and decreased secretion of IL12B and suppresses T-cell activation by promoting the generation of mature immunoregulatory dendritic cells.
