#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
CL:15539	Mixed, incl. T cell modulation in pancreatic cancer, and non-Langerhans-cell histiocytosis	23	80	2.13	4.28e-39	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000315564,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000328207,9606.ENSP00000329932,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000339477,9606.ENSP00000358470,9606.ENSP00000361359,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000386559,9606.ENSP00000477713,9606.ENSP00000485129,9606.ENSP00000497102	CD4,LAG3,CD80,HAVCR2,LGALS9B,ICOS,CD276,CD28,TNFRSF18,LGALS9C,CD86,PDCD1,ICOSLG,VTCN1,CD40,TNFRSF4,CD274,LGALS9,PDCD1LG2,CD8A,LCK,LOC102723996,CTLA4
CL:15620	T cell modulation in pancreatic cancer, and TNFs bind their physiological receptors	20	38	2.39	4.48e-38	9606.ENSP00000203629,9606.ENSP00000264246,9606.ENSP00000312002,9606.ENSP00000315564,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000328207,9606.ENSP00000329932,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000339477,9606.ENSP00000358470,9606.ENSP00000361359,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000378856,9606.ENSP00000380855,9606.ENSP00000485129,9606.ENSP00000497102	LAG3,CD80,HAVCR2,LGALS9B,ICOS,CD276,CD28,TNFRSF18,LGALS9C,CD86,PDCD1,ICOSLG,VTCN1,CD40,TNFRSF4,CD274,LGALS9,PDCD1LG2,LOC102723996,CTLA4
CL:15622	TNFs bind their physiological receptors, and T cell modulation in pancreatic cancer	14	27	2.39	7.54e-26	9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000328207,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000339477,9606.ENSP00000361359,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000485129,9606.ENSP00000497102	CD80,ICOS,CD276,CD28,TNFRSF18,CD86,PDCD1,ICOSLG,CD40,TNFRSF4,CD274,PDCD1LG2,LOC102723996,CTLA4
CL:15625	T cell modulation in pancreatic cancer, and Lymphoproliferative syndrome 2	13	19	2.51	4.47e-25	9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000339477,9606.ENSP00000361359,9606.ENSP00000368538,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000485129,9606.ENSP00000497102	CD80,ICOS,CD276,CD28,CD86,PDCD1,ICOSLG,CD40,TNFRSF4,CD274,PDCD1LG2,LOC102723996,CTLA4
CL:15627	Mixed, incl. Tumour necrosis factor, conserved site, and ICOS V-set domain	7	13	2.4	4.50e-12	9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000339477,9606.ENSP00000361359,9606.ENSP00000368538,9606.ENSP00000485129	ICOS,CD28,CD86,ICOSLG,CD40,TNFRSF4,LOC102723996
CL:15629	Mixed, incl. ICOS V-set domain, and Immunodeficiency 16	6	8	2.55	8.66e-11	9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000361359,9606.ENSP00000368538,9606.ENSP00000485129	ICOS,CD28,CD86,CD40,TNFRSF4,LOC102723996
CL:15653	Mixed, incl. Testicular lymphoma, and Pleomorphic carcinoma	5	5	2.67	3.54e-09	9606.ENSP00000264246,9606.ENSP00000335062,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000497102	CD80,PDCD1,CD274,PDCD1LG2,CTLA4
CL:15679	Galectin, and Negative regulation of natural killer cell mediated immune response to tumor cell	4	6	2.5	1.40e-06	9606.ENSP00000312002,9606.ENSP00000315564,9606.ENSP00000329932,9606.ENSP00000378856	HAVCR2,LGALS9B,LGALS9C,LGALS9
CL:16409	Nectin/Necl  trans heterodimerization, and Regulation of natural killer cell cytokine production	3	11	2.11	0.0011	9606.ENSP00000252483,9606.ENSP00000402060,9606.ENSP00000419085	NECTIN2,PVR,TIGIT
CL:17210	Immunoglobulin complex	3	22	1.81	0.0061	9606.ENSP00000478289,9606.ENSP00000478725,9606.ENSP00000481152	LOC102723407,IGHV3-16,IGHV3-43D
CL:16421	Positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target, and Negative regulation of natural killer cell cytokine production	2	5	2.27	0.0234	9606.ENSP00000402060,9606.ENSP00000419085	PVR,TIGIT
CL:17215	Immunoglobulin	2	5	2.27	0.0234	9606.ENSP00000478725,9606.ENSP00000481152	IGHV3-16,IGHV3-43D
CL:15540	Mixed, incl. non-Langerhans-cell histiocytosis, and T cell receptor complex	3	40	1.55	0.0238	9606.ENSP00000011653,9606.ENSP00000386559,9606.ENSP00000477713	CD4,CD8A,LCK
CL:15545	Alpha-beta T cell receptor complex, and Pneumocystosis	2	6	2.19	0.0255	9606.ENSP00000386559,9606.ENSP00000477713	CD8A,LCK
